,united_states (3 month)
1988-03-01,0.0663
1988-04-01,0.0692
1988-05-01,0.0724
1988-06-01,0.0751
1988-07-01,0.0794
1988-08-01,0.08349999999999999
1988-09-01,0.0823
1988-10-01,0.0836
1988-11-01,0.08779999999999999
1988-12-01,0.0925
1989-01-01,0.092
1989-02-01,0.0951
1989-03-01,0.1009
1989-04-01,0.09939999999999999
1989-05-01,0.0959
1989-06-01,0.092
1989-07-01,0.0876
1989-08-01,0.0864
1989-09-01,0.08779999999999999
1989-10-01,0.086
1989-11-01,0.0839
1989-12-01,0.0832
1990-01-01,0.0816
1990-02-01,0.08220000000000001
1990-03-01,0.08349999999999999
1990-04-01,0.0842
1990-05-01,0.08349999999999999
1990-06-01,0.0823
1990-07-01,0.081
1990-08-01,0.0797
1990-09-01,0.0806
1990-10-01,0.0806
1990-11-01,0.0803
1990-12-01,0.0782
1991-01-01,0.0717
1991-02-01,0.0652
1991-03-01,0.0645
1991-04-01,0.060599999999999994
1991-05-01,0.0591
1991-06-01,0.060700000000000004
1991-07-01,0.059800000000000006
1991-08-01,0.0565
1991-09-01,0.0547
1991-10-01,0.0533
1991-11-01,0.049400000000000006
1991-12-01,0.0447
1992-01-01,0.0405
1992-02-01,0.0407
1992-03-01,0.0425
1992-04-01,0.04
1992-05-01,0.0382
1992-06-01,0.038599999999999995
1992-07-01,0.0337
1992-08-01,0.0331
1992-09-01,0.0313
1992-10-01,0.0326
1992-11-01,0.0358
1992-12-01,0.0348
1993-01-01,0.0319
1993-02-01,0.031200000000000002
1993-03-01,0.0311
1993-04-01,0.030899999999999997
1993-05-01,0.031
1993-06-01,0.0321
1993-07-01,0.0316
1993-08-01,0.031400000000000004
1993-09-01,0.031200000000000002
1993-10-01,0.032400000000000005
1993-11-01,0.0335
1993-12-01,0.0326
1994-01-01,0.0315
1994-02-01,0.034300000000000004
1994-03-01,0.0377
1994-04-01,0.0401
1994-05-01,0.0451
1994-06-01,0.0452
1994-07-01,0.0473
1994-08-01,0.0481
1994-09-01,0.050300000000000004
1994-10-01,0.055099999999999996
1994-11-01,0.0579
1994-12-01,0.0629
1995-01-01,0.062400000000000004
1995-02-01,0.0616
1995-03-01,0.061500000000000006
1995-04-01,0.0611
1995-05-01,0.0602
1995-06-01,0.059000000000000004
1995-07-01,0.057699999999999994
1995-08-01,0.057699999999999994
1995-09-01,0.057300000000000004
1995-10-01,0.0579
1995-11-01,0.0574
1995-12-01,0.0562
1996-01-01,0.053899999999999997
1996-02-01,0.051500000000000004
1996-03-01,0.0529
1996-04-01,0.0536
1996-05-01,0.0536
1996-06-01,0.0546
1996-07-01,0.0553
1996-08-01,0.054000000000000006
1996-09-01,0.055099999999999996
1996-10-01,0.0541
1996-11-01,0.0538
1996-12-01,0.054400000000000004
1997-01-01,0.054299999999999994
1997-02-01,0.0537
1997-03-01,0.0553
1997-04-01,0.0571
1997-05-01,0.057
1997-06-01,0.056600000000000004
1997-07-01,0.055999999999999994
1997-08-01,0.055999999999999994
1997-09-01,0.055999999999999994
1997-10-01,0.0565
1997-11-01,0.0574
1997-12-01,0.057999999999999996
1998-01-01,0.0554
1998-02-01,0.0554
1998-03-01,0.0558
1998-04-01,0.0558
1998-05-01,0.0559
1998-06-01,0.055999999999999994
1998-07-01,0.0559
1998-08-01,0.0558
1998-09-01,0.0541
1998-10-01,0.0521
1998-11-01,0.0524
1998-12-01,0.051399999999999994
1999-01-01,0.0489
1999-02-01,0.049
1999-03-01,0.049100000000000005
1999-04-01,0.048799999999999996
1999-05-01,0.0492
1999-06-01,0.0513
1999-07-01,0.0524
1999-08-01,0.0541
1999-09-01,0.055
1999-10-01,0.0613
1999-11-01,0.06
1999-12-01,0.0605
2000-01-01,0.059500000000000004
2000-02-01,0.0601
2000-03-01,0.061399999999999996
2000-04-01,0.06280000000000001
2000-05-01,0.06709999999999999
2000-06-01,0.0673
2000-07-01,0.0667
2000-08-01,0.0661
2000-09-01,0.066
2000-10-01,0.0667
2000-11-01,0.0665
2000-12-01,0.0645
2001-01-01,0.0562
2001-02-01,0.0526
2001-03-01,0.0489
2001-04-01,0.0453
2001-05-01,0.04019999999999999
2001-06-01,0.0374
2001-07-01,0.0366
2001-08-01,0.0348
2001-09-01,0.0287
2001-10-01,0.0231
2001-11-01,0.0203
2001-12-01,0.0183
