,france (3 month)
1986-02-01,0.08810000000000001
1986-03-01,0.08310000000000001
1986-04-01,0.0761
1986-05-01,0.0724
1986-06-01,0.0724
1986-07-01,0.0713
1986-08-01,0.0711
1986-09-01,0.0708
1986-10-01,0.0741
1986-11-01,0.0751
1986-12-01,0.08103999999999999
1987-01-01,0.08581699999999999
1987-02-01,0.084777
1987-03-01,0.079622
1987-04-01,0.08
1987-05-01,0.082203
1987-06-01,0.08331799999999999
1987-07-01,0.079541
1987-08-01,0.08004
1987-09-01,0.079766
1987-10-01,0.083276
1987-11-01,0.08787
1987-12-01,0.08604300000000001
1988-01-01,0.083286
1988-02-01,0.076767
1988-03-01,0.080388
1988-04-01,0.08128600000000001
1988-05-01,0.079335
1988-06-01,0.07392699999999999
1988-07-01,0.074456
1988-08-01,0.07746
1988-09-01,0.079904
1988-10-01,0.080152
1988-11-01,0.081401
1988-12-01,0.084698
1989-01-01,0.08683500000000001
1989-02-01,0.092355
1989-03-01,0.09158
1989-04-01,0.087464
1989-05-01,0.089219
1989-06-01,0.08999499999999999
1989-07-01,0.091782
1989-08-01,0.09097300000000001
1989-09-01,0.093491
1989-10-01,0.10021699999999999
1989-11-01,0.105083
1989-12-01,0.108863
1990-01-01,0.113332
1990-02-01,0.11045999999999999
1990-03-01,0.10671599999999999
1990-04-01,0.100167
1990-05-01,0.098143
1990-06-01,0.10073700000000001
1990-07-01,0.10050100000000001
1990-08-01,0.10191499999999999
1990-09-01,0.103466
1990-10-01,0.10036400000000001
1990-11-01,0.10003000000000001
1990-12-01,0.102737
1991-01-01,0.10274699999999999
1991-02-01,0.097937
1991-03-01,0.09425900000000001
1991-04-01,0.09346600000000001
1991-05-01,0.09234400000000001
1991-06-01,0.097066
1991-07-01,0.09593
1991-08-01,0.095992
1991-09-01,0.094302
1991-10-01,0.09325
1991-11-01,0.09540599999999999
1991-12-01,0.101104
1992-01-01,0.09982200000000001
1992-02-01,0.100471
1992-03-01,0.10119500000000001
1992-04-01,0.10040900000000001
1992-05-01,0.099674
1992-06-01,0.10112600000000001
1992-07-01,0.10222899999999999
1992-08-01,0.10389200000000001
1992-09-01,0.110405
1992-10-01,0.111165
1992-11-01,0.09755599999999999
1992-12-01,0.11341
